SchoolName;SportName;NCAAConference;Athletes ;Score;Eligibility;PreviousAthletes;PreviousScore;PreviousEligibility
Cornell University;Women's Ice Hockey;The Ivy League;21;988;1;19;1000;1
Clemson University;Men's Tennis;Atlantic Coast Conference;15;982;1;11;947;1
University of Colorado, Boulder;Women's Basketball;Pac-12 Conference;13;1000;1;11;1000;1
Iowa State University;Women's Soccer;Big 12 Conference;26;990;1;29;1000;1
Yale University;Men's Basketball;The Ivy League;16;969;1;17;1000;1
The Ohio State University;Men's Basketball;Big Ten Conference;11;976;0.9524;13;957;1
Texas Christian University;Men's Tennis;Big 12 Conference;9;966;1;11;1000;1
South Dakota State University;Women's Tennis;The Summit League;8;1000;1;7;1000;1
University of South Dakota;Women's Soccer;The Summit League;28;981;1;25;990;1
Kansas State University;Men's Basketball;Big 12 Conference;13;981;0.9615;13;981;1
University of North Carolina, Chapel Hill;Men's Soccer;Atlantic Coast Conference;19;1000;1;24;892;0.9211
Iowa State University;Men's Basketball;Big 12 Conference;13;980;1;13;958;0.96
North Carolina State University;Women's Tennis;Atlantic Coast Conference;9;1000;1;9;1000;1
University of Illinois, Champaign;Women's Tennis;Big Ten Conference;8;1000;1;8;1000;1
University of Michigan;Women's Tennis;Big Ten Conference;8;1000;1;9;1000;1
Boston College;Women's Ice Hockey;Atlantic Coast Conference;18;1000;1;19;1000;1
Columbia University-Barnard College;Men's Tennis;The Ivy League;9;1000;1;9;1000;1
Western Illinois University;Women's Basketball;The Summit League;13;1000;1;14;1000;1
University of Washington;Women's Tennis;Pac-12 Conference;8;969;1;8;1000;1
Duke University;Men's Soccer;Atlantic Coast Conference;12;1000;1;11;1000;1
University of Virginia;Men's Soccer;Atlantic Coast Conference;14;941;0.963;16;957;1
Rutgers, The State University of New Jersey, New Brunswick;Women's Basketball;Big Ten Conference;10;1000;1;13;1000;1
Cornell University;Women's Basketball;The Ivy League;13;1000;1;14;1000;1
Harvard University;Men's Ice Hockey;The Ivy League;29;991;1;28;991;1
Yale University;Men's Ice Hockey;The Ivy League;26;980;1;26;1000;1
Northwestern University;Men's Soccer;Big Ten Conference;23;1000;1;24;977;0.9775
Dartmouth College;Women's Skiing;The Ivy League;20;1000;1;21;1000;1
Rutgers, The State University of New Jersey, New Brunswick;Men's Soccer;Big Ten Conference;19;984;1;18;984;1
University of Colorado, Boulder;Women's Soccer;Pac-12 Conference;23;988;1;20;975;1
Michigan State University;Women's Soccer;Big Ten Conference;25;1000;1;25;979;0.9787
University of Southern California;Men's Tennis;Pac-12 Conference;7;1000;1;9;889;0.9286
The Ohio State University;Women's Soccer;Big Ten Conference;24;989;1;24;1000;1
Baylor University;Women's Tennis;Big 12 Conference;10;1000;1;11;976;1
University of Virginia;Women's Tennis;Atlantic Coast Conference;8;1000;1;8;1000;1
Stanford University;Men's Basketball;Pac-12 Conference;14;1000;1;13;1000;1
Duke University;Women's Soccer;Atlantic Coast Conference;21;1000;1;21;988;1
University of Louisville;Women's Tennis;Atlantic Coast Conference;9;1000;1;8;1000;1
Clemson University;Men's Basketball;Atlantic Coast Conference;13;1000;1;11;1000;1
The Ohio State University;Women's Basketball;Big Ten Conference;15;1000;1;15;921;0.8793
Indiana University, Bloomington;Men's Basketball;Big Ten Conference;13;978;1;13;1000;1
Yale University;Women's Tennis;The Ivy League;8;1000;1;8;1000;1
Oregon State University;Women's Soccer;Pac-12 Conference;23;987;1;25;989;1
University of Louisville;Women's Basketball;Atlantic Coast Conference;14;1000;1;17;1000;1
Dartmouth College;Men's Basketball;The Ivy League;15;1000;1;14;1000;1
University of Oklahoma;Women's Basketball;Big 12 Conference;15;1000;1;14;943;0.963
University of Oregon;Men's Tennis;Pac-12 Conference;10;1000;1;10;1000;1
University of Notre Dame;Men's Basketball;Atlantic Coast Conference;13;917;0.9167;12;1000;1
University of Nebraska, Lincoln;Women's Basketball;Big Ten Conference;13;1000;1;16;1000;1
University of Nebraska Omaha;Women's Basketball;The Summit League;13;1000;1;13;979;1
Texas Christian University;Women's Tennis;Big 12 Conference;11;1000;1;8;969;0.9375
Indiana University-Purdue University at Indianapolis;Men's Basketball;The Summit League;13;962;0.9615;14;963;0.963
University of Kansas;Women's Soccer;Big 12 Conference;20;986;0.973;27;941;0.9216
Duke University;Women's Tennis;Atlantic Coast Conference;10;1000;1;10;1000;1
Syracuse University;Men's Basketball;Atlantic Coast Conference;13;1000;1;13;878;0.84
University of Denver;Women's Basketball;The Summit League;15;1000;1;12;1000;1
South Dakota State University;Men's Basketball;The Summit League;14;963;0.963;12;957;1
Cornell University;Men's Tennis;The Ivy League;12;1000;1;11;953;0.9524
Brown University;Women's Ice Hockey;The Ivy League;22;1000;1;22;1000;1
Duke University;Men's Basketball;Atlantic Coast Conference;13;979;0.96;14;1000;1
University of Pennsylvania;Men's Basketball;The Ivy League;16;953;0.9688;16;1000;1
University of Utah;Men's Skiing;Pac-12 Conference;12;977;1;10;950;0.95
University of Minnesota, Twin Cities;Women's Soccer;Big Ten Conference;20;1000;1;23;988;1
Florida State University;Women's Basketball;Atlantic Coast Conference;13;1000;1;12;978;1
University of Miami (Florida);Men's Tennis;Atlantic Coast Conference;6;958;1;10;1000;1
Virginia Polytechnic Institute and State University;Women's Soccer;Atlantic Coast Conference;20;1000;1;21;988;1
Syracuse University;Women's Soccer;Atlantic Coast Conference;17;1000;1;18;1000;1
University of Notre Dame;Women's Tennis;Atlantic Coast Conference;8;1000;1;7;1000;1
Pennsylvania State University;Women's Soccer;Big Ten Conference;20;971;1;18;1000;1
University of North Carolina, Chapel Hill;Women's Tennis;Atlantic Coast Conference;8;1000;1;8;1000;1
Texas Christian University;Women's Basketball;Big 12 Conference;17;952;0.9688;13;938;0.9565
Washington State University;Women's Tennis;Pac-12 Conference;8;931;0.9333;8;1000;1
Clemson University;Women's Basketball;Atlantic Coast Conference;14;980;1;12;977;1
University of Louisville;Men's Tennis;Atlantic Coast Conference;13;1000;1;16;948;0.931
University of Maryland, College Park;Men's Basketball;Big Ten Conference;13;941;1;11;881;0.9048
North Dakota State University;Men's Basketball;The Summit League;13;962;0.9615;13;923;0.8846
Indiana University-Purdue University, Fort Wayne;Women's Basketball;The Summit League;14;964;0.9643;13;1000;1
University of Illinois, Champaign;Women's Soccer;Big Ten Conference;22;976;1;21;1000;1
Purdue University;Women's Basketball;Big Ten Conference;12;1000;1;14;982;0.9643
Clemson University;Women's Soccer;Atlantic Coast Conference;31;991;1;24;967;1
Indiana University, Bloomington;Women's Tennis;Big Ten Conference;9;1000;1;9;1000;1
Syracuse University;Men's Soccer;Atlantic Coast Conference;14;962;0.9615;15;1000;1
Oklahoma State University;Women's Basketball;Big 12 Conference;15;983;1;14;980;1
Western Illinois University;Women's Tennis;The Summit League;7;893;0.9286;-99;-99;-99
University of California, Los Angeles;Women's Basketball;Pac-12 Conference;13;971;0.9423;13;1000;1
Brown University;Men's Tennis;The Ivy League;11;1000;1;12;1000;1
University of North Carolina, Chapel Hill;Men's Basketball;Atlantic Coast Conference;13;1000;1;13;959;0.9615
Indiana University-Purdue University at Indianapolis;Women's Soccer;The Summit League;25;1000;1;23;1000;1
Harvard University;Women's Basketball;The Ivy League;16;1000;1;15;1000;1
University of Pennsylvania;Men's Soccer;The Ivy League;19;958;0.9722;20;972;0.973
Indiana University-Purdue University, Fort Wayne;Men's Soccer;The Summit League;20;961;0.9744;21;922;0.8462
Indiana University-Purdue University at Indianapolis;Women's Basketball;The Summit League;15;1000;1;12;1000;1
Pennsylvania State University;Women's Tennis;Big Ten Conference;8;967;1;8;1000;1
Indiana University, Bloomington;Women's Soccer;Big Ten Conference;28;1000;1;32;1000;1
Stanford University;Women's Soccer;Pac-12 Conference;25;1000;1;19;1000;1
Iowa State University;Women's Basketball;Big 12 Conference;15;983;0.9655;13;958;1
Wake Forest University;Women's Basketball;Atlantic Coast Conference;12;1000;1;14;1000;1
University of Oregon;Men's Basketball;Pac-12 Conference;13;905;0.9565;13;952;1
