Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2015,ORPEA,59.59,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,2880.16,4446171,0.841,8.06,0.031202867,0.095697699,37.26,0,0,1,7334935,2.54,22.74,50.9,1.35,45,FR
2016,ORPEA,59.78,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,4435.16,4622247,1.044,7,0.030600115,0.089253403,43.06,0,0,1,8287191,4.33,18.8,52.61,1.08,45,FR
2017,ORPEA,58.25,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,4688.83,6342030,1.019,12.35,0.033095222,0.101858243,65.86,1,0,1,9658645,1.71,10.45,52.7,1.15,45,FR
2018,ORPEA,, , , ,,,,,,,,,,,,,,,,,,,,,,6345.57,5758899,1.12,3.31,0.028604231,0.092854653,,0,,,11101190,2.79,,52.15,1.02,45,FR
2013,ORSTED,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,-15.66,0.008533619,0.017202454,,0,,,145542000,0.32,9.62,40.81,  ,91,DK
2014,ORSTED,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,-7.36,0.060462748,0.125659553,,0,,,149282000,-0.03,-0.51,33.02,  ,91,DK
2015,ORSTED,59.52,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,  ,,,-7.13,-0.045623476,-0.09027115,52.45,0,1,1,147183000,-4.97,3.56,33.73,  ,91,DK
2016,ORSTED,59.09,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,  ,112433525,,-31.78,0.053012808,0.125990975,63.43,1,1,1,136401000,6.14,-13.96,27.44,  ,91,DK
2017,ORSTED,60,54.665, ,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,113418.8,142306558,0.93,19.3,0.065093,0.156609556,79.34,1,1,1,143656000,14.39,4.04,29.85,0,91,DK
2018,ORSTED,68.18,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,142382.9,183013683,1.076,34.16,0.040814886,0.091869703,77.47,1,1,1,169987000,12.23,26.48,23.85,1.77,91,DK
2013,OSRAM LICHT,56.78,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,  ,3625848,,-19.65,0.055334889,0.042146463,50.76,0,1,1,4028200,0.87,-2.06,8.71,  ,57,DE
2014,OSRAM LICHT,57.96,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,4291.21,3084801,0.992,1.29,0.109557708,0.091285662,68.08,1,1,1,4284500,4.87,-2.77,4.24,0,57,DE
2015,OSRAM LICHT,55.71,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,3461.56,4836314,0.68,3.45,0.160576834,0.124251014,68.99,1,1,1,4313200,4.09,8.4,2.02,2.72,57,DE
2016,OSRAM LICHT,8.33,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,4070.12,5192797,0.637,19.38,0.101879103,0.118890357,75.23,1,1,1,4417000,9.3,5.96,1.4,2.31,57,DE
2017,OSRAM LICHT,55.18,54.665, ,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,5156.68,6507948,1.001,6.17,0.123088685,0.117005814,79.93,1,1,1,3924000,5.41,9.06,5.1,2.03,57,DE
2018,OSRAM LICHT,58.04,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,7874.73,3307594,1.723,7.36,0.084143859,0.090400972,81.34,1,1,1,4421000,3.4,-0.31,8.71,1.46,57,DE
2013,OTP BANK,19.44, ,46.12,52.14,53.21,,52.18,53.38,0,0.2,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,1161999,1133907218,0.199,8.07,0.007954689,0.058869868,63.89,1,0,1,10381047000,0.97,-5.11,14.42,2.45,102,HU
2014,OTP BANK,62.05, ,55.58538462,52.2175,53.67,,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,1147999,1053980587,0.202,4.27,-0.014444103,-0.117137408,53.79,0,0,1,10971052000,-0.7,-3.56,11.46,2.97,102,HU
