Rank;Title;Previous Rank;Revenues ($M);Revenue Change;Profits ($M);Profit Change;Assets ($M);Market Value ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500;City;State;Latitude;Longitude;CEO Gender;Revenues per Employee ($M);Profits per Employee ($M);Change in Rank
409;Discovery;412;6873;5.80%;-337;-128.20%;22555;11156;7000;David M. Zaslav;President, Chief Executive Officer &  Director;Media;Entertainment;5;Silver Spring;MD;38.9906657;-77.026088;Male;0.9818571428571429;-0.04814285714285714;3
410;Owens-Illinois;401;6869;2.50%;180;-13.90%;9756;3538;26500;Andres A. Lopez;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;24;Perrysburg;OH;41.556996;-83.627157;Male;0.2592075471698113;0.006792452830188679;-9
411;Sanmina;414;6869;6.00%;138.8;-26.10%;3847;1863;41250;Robert K. Eulau;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;18;San Jose;CA;37.3382082;-121.8863286;Male;0.16652121212121213;0.0033648484848484853;3
412;KeyCorp;479;6868;26.70%;1296;63.80%;137698;20570;18415;Beth E. Mooney;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;20;Cleveland;OH;41.49932;-81.6943605;Female;0.37295682867227803;0.07037740972033668;67
413;American Financial Group;411;6865;5.60%;475;-26.80%;60658;9923;7600;Carl H. Lindner lll/S. Craig Lindner;President, Co-Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);19;Cincinnati;OH;39.1031182;-84.5120196;Male;0.9032894736842105;0.0625;-2
414;Oshkosh;425;6830;8.80%;285.6;32.00%;5099;5768;14000;Wilson R. Jones;President, Chief Executive Officer &  Director;Industrials;Construction and Farm Machinery;11;Oshkosh;WI;44.0247062;-88.5426136;Male;0.4878571428571429;0.0204;11
415;Rockwell Collins;492;6822;29.70%;705;-3.20%;17997;22108;29000;Robert K. Ortberg;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;7;Cedar Rapids;IA;41.9778795;-91.6656232;Male;0.23524137931034483;0.024310344827586206;77
416;Kindred Healthcare;376;6768;-6.40%;-698.4;-;5233;836;64200;Benjamin A. Breier;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;15;Louisville;KY;38.2526647;-85.7584557;Male;0.10542056074766355;-0.010878504672897195;-40
417;Insight Enterprises;473;6704;22.20%;90.7;7.10%;2686;1252;6697;Kenneth T. Lamneck;President, Chief Executive Officer &  Director;Technology;Information Technology Services;10;Tempe;AZ;33.4255104;-111.9400054;Male;1.0010452441391668;0.013543377631775422;56
418;Dr Pepper Snapple Group;416;6690;3.90%;1076;27.00%;10022;21278;21000;Larry D. Young;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Beverages;10;Plano;TX;33.0198431;-96.6988856;Male;0.31857142857142856;0.051238095238095235;-2
419;American Tower;449;6664;15.20%;1238.9;29.50%;33214;64073;4752;James D. Taiclet Jr.;Chairman, President &  Chief Executive Officer;Financials;Real estate;2;Boston;MA;42.3600825;-71.0588801;Male;1.4023569023569022;0.2607112794612795;30
420;Fortive;NA;6656;-;1044.5;-;10501;26979;26000;James A. Lico;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;1;Everett;WA;47.9789848;-122.2020795;Male;0.256;0.04017307692307692;NA
421;Ralph Lauren;371;6653;-10.20%;-99.3;-125.10%;5652;9088;18250;Patrice Louvet;President, Chief Executive Officer &  Director;Apparel;Apparel;10;New York;NY;40.7127753;-74.0059728;Male;0.36454794520547945;-0.0054410958904109585;-50
422;HRG Group;418;6650;3.90%;106;-;35850;3328;17113;Joseph S. Steinberg;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;5;New York;NY;40.7127753;-74.0059728;Male;0.3885934669549465;0.006194121428154035;-4
423;Ascena Retail Group;384;6650;-4.90%;-1067.3;-;3872;394;40000;David R. Jaffe;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;2;Mahwah;NJ;41.0886216;-74.1435843;Male;0.16625;-0.026682499999999998;-39
424;United Rentals;452;6641;15.30%;1346;137.80%;15030;14537;14800;Michael J. Kneeland;Chairman &  Chief Executive Officer;Business Services;Miscellaneous;5;Stamford;CT;41.0534302;-73.5387341;Male;0.4487162162162162;0.09094594594594595;28
425;Caseys General Stores;423;6641;5.30%;177.5;-21.50%;3020;4120;25463;Terry W. Handley;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;8;Ankeny;IA;41.7317884;-93.6001278;Male;0.26080980245846913;0.0069708989514197075;-2
426;Graybar Electric;420;6631;3.90%;71.6;-23.10%;2261;NA;8500;Kathleen M. Mazzarella;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;24;St. Louis;MO;38.6270025;-90.1994042;Female;0.7801176470588236;0.008423529411764705;-6
