Title,Year,Genres,Duration,Rating,MPA,Votes
128. Big Eyes,2014,"['True Crime', 'Biography', 'Crime', 'Drama', 'Romance']",1h 46m,7.0,PG-13,101K
129. America: Imagine the World Without Her,2014,['Documentary'],1h 45m,5.0,PG-13,7.2K
130. Left Behind,2014,"['Dystopian Sci-Fi', 'Action', 'Fantasy', 'Sci-Fi', 'Thriller']",1h 50m,3.1,PG-13,43K
131. Whiplash,2014,"['Psychological Drama', 'Drama', 'Music']",1h 46m,8.5,R,1M
132. Sin City: A Dame to Kill For,2014,"['Action', 'Crime', 'Thriller']",1h 42m,6.5,R,173K
133. Winter's Tale,2014,"['Drama', 'Fantasy', 'Mystery', 'Romance']",1h 58m,6.1,PG-13,58K
134. Love & Mercy,2014,"['Biography', 'Drama', 'Music']",2h 1m,7.4,PG-13,43K
135. Foxcatcher,2014,"['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History', 'Sport']",2h 14m,7.0,R,152K
136. The Drop,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",1h 46m,7.0,R,165K
137. PK,2014,"['Satire', 'Comedy', 'Drama', 'Sci-Fi']",2h 33m,8.1,Not Rated,207K
138. Magic in the Moonlight,2014,"['Comedy', 'Drama', 'Romance']",1h 37m,6.5,PG-13,72K
139. Sabotage,2014,"['Action Epic', 'Conspiracy Thriller', 'Cop Drama', 'Drug Crime', 'Heist', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1h 49m,5.7,R,67K
140. Moms' Night Out,2014,['Comedy'],1h 38m,5.3,PG,15K
141. The Quiet Ones,2014,"['Horror', 'Mystery', 'Thriller']",1h 38m,5.1,PG-13,22K
142. Inherent Vice,2014,"['Bumbling Detective', 'Dark Comedy', 'Period Drama', 'Satire', 'Whodunnit', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",2h 28m,6.6,R,113K
143. Vampire Academy,2014,"['Coming-of-Age', 'Supernatural Fantasy', 'Vampire Horror', 'Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",1h 44m,5.4,PG-13,58K
144. While We're Young,2014,"['Comedy', 'Drama', 'Mystery']",1h 37m,6.3,R,54K
145. Cantinflas,2014,"['Biography', 'Comedy', 'Drama', 'Romance']",1h 42m,6.6,PG,4.2K
146. The Interview,2014,"['Buddy Comedy', 'Dark Comedy', 'Satire', 'Action', 'Adventure', 'Comedy']",1h 52m,6.5,R,363K
147. Meet the Mormons,2014,['Documentary'],1h 18m,6.4,PG,2.1K
148. The Loft,2014,"['Mystery', 'Romance', 'Thriller']",1h 48m,6.3,R,61K
149. A Most Violent Year,2014,"['Crime', 'Drama', 'Thriller']",2h 5m,6.9,R,79K
150. Cesar Chavez,2014,"['Biography', 'Drama']",1h 42m,6.4,PG-13,3.7K
151. The Skeleton Twins,2014,"['Comedy', 'Drama', 'Romance']",1h 33m,6.8,R,46K
152. Dear White People,2014,"['Satire', 'Comedy', 'Drama', 'Romance']",1h 48m,6.2,R,27K
153. The Water Diviner,2014,"['Drama', 'History', 'War']",1h 51m,7.0,R,79K
154. My Old Lady,2014,"['Comedy', 'Drama', 'Romance']",1h 47m,6.4,PG-13,10K
155. Mr. Turner,2014,"['Period Drama', 'Biography', 'Drama', 'History']",2h 30m,6.8,R,28K
156. Calvary,2014,"['Crime', 'Drama', 'Mystery']",1h 42m,7.4,R,66K
157. Wish I Was Here,2014,"['Comedy', 'Drama']",1h 46m,6.6,R,39K
158. Mommy,2014,['Drama'],2h 19m,8.0,R,63K
159. What We Do in the Shadows,2014,"['Dark Comedy', 'Mockumentary', 'Satire', 'Supernatural Horror', 'Vampire Horror', 'Comedy', 'Horror']",1h 26m,7.6,R,206K
160. Learning to Drive,2014,"['Buddy Comedy', 'Comedy', 'Drama', 'Romance']",1h 30m,6.4,R,8.4K
161. Veronica Mars,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",1h 47m,6.7,PG-13,55K
162. Before I Go to Sleep,2014,"['Psychological Thriller', 'Tragedy', 'Drama', 'Mystery', 'Thriller']",1h 32m,6.3,R,86K
163. Phoenix,2014,"['Drama', 'History', 'Music', 'Romance']",1h 38m,7.3,PG-13,21K
164. Rosewater,2014,"['Biography', 'Drama']",1h 43m,6.6,R,11K
165. Obvious Child,2014,"['Comedy', 'Drama', 'Romance']",1h 24m,6.7,R,27K
166. Wild Tales,2014,"['Dark Comedy', 'Comedy', 'Drama', 'Thriller']",2h 2m,8.1,R,224K
167. The Trip to Italy,2014,"['Comedy', 'Drama']",1h 48m,6.6,Not Rated,16K
168. The Identical,2014,"['Drama', 'Music']",1h 47m,5.3,PG,3.1K
169. The Fluffy Movie: Unity Through Laughter,2014,"['Stand-Up', 'Comedy', 'Documentary']",1h 41m,7.2,PG-13,4.3K
170. Citizenfour,2014,"['Biography', 'Documentary']",1h 54m,8.0,R,59K
171. Kirk Cameron's Saving Christmas,2014,"['Comedy', 'Family', 'Holiday']",1h 19m,1.3,PG,17K
172. The Pyramid,2014,"['Found Footage Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']",1h 29m,4.6,R,28K
173. The Good Lie,2014,"['Biography', 'Drama']",1h 50m,7.4,PG-13,32K
174. The Raid 2,2014,"['Martial Arts', 'Action', 'Crime', 'Thriller']",2h 30m,7.9,R,134K
175. The Admiral: Roaring Currents,2014,"['Action', 'History', 'War']",2h 8m,7.1,Not Rated,13K
176. Bang Bang,2014,"['Action', 'Adventure', 'Comedy', 'Musical', 'Romance', 'Thriller']",2h 33m,5.6,Not Rated,27K
177. Kick,2014,"['Action', 'Comedy', 'Crime', 'Thriller']",2h 26m,6.0,Not Rated,74K
178. Kill the Messenger,2014,"['True Crime', 'Biography', 'Crime', 'Drama', 'Mystery', 'Thriller']",1h 52m,6.9,R,49K
179. Pawn Sacrifice,2014,"['Biography', 'Drama', 'History', 'Sport', 'Thriller']",1h 55m,7.0,PG-13,51K
180. The Homesman,2014,"['Tragedy', 'Drama', 'Western']",2h 2m,6.6,R,37K
181. WARx2,2014,"['Comedy', 'Documentary']",1h 57m,7.2,PG-13,1.2K
182. Ode to My Father,2014,"['Drama', 'War']",2h 6m,7.8,,6.4K
183. Love Is Strange,2014,"['Drama', 'Romance']",1h 34m,6.7,R,13K
184. 2 States,2014,"['Comedy', 'Drama', 'Romance']",2h 29m,6.9,Not Rated,28K
185. Cake,2014,['Drama'],1h 42m,6.4,R,39K
186. Old Fashioned,2014,"['Drama', 'Romance']",1h 55m,5.0,PG-13,2.2K
187. Clouds of Sils Maria,2014,"['Psychological Drama', 'Drama']",2h 4m,6.7,R,32K
188. Tusk,2014,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Tragedy', 'Comedy', 'Horror']",1h 42m,5.4,R,67K
