Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
1236750,FALSE,Utility,Pacific GasElectri,Mr. Richard A Clarke,San Francisco,CA,64,U of Cal Berkel,AB,52,22,U of Cal Berkel,JD,0,1,55,25,39,8,640000,143070,453676,,6387140,0.006,10582,1065.5,17,Electric utilities-western,19
1232430,FALSE,Business,Deluxe,Mr. Harold V Haverty,Detroit,MI,64,,,,,,none,0,0,,,40,8,802500,16452,131683,281794,4966940,0.07,1582,141.9,6,Business-supplies,13
1231690,FALSE,Travel,USAir Group,Mr. Seth E Schofield,Staffordville,CT,54,,,,,,none,0,0,,,37,3,475635,,756053,,3120790,0.147,7083,-349.4,-28,Travel-airlines,8
1228170,FALSE,Insurance,Lincoln National,Mr. Ian M Rolland,Fort Wayne,IN,60,DePauw U,BA,55,21,U of Michigan,MA,0,1,56,22,38,17,896494,,331680,,7502400,0.11,8290,415.3,15,Insurance-diversified,4
1222610,FALSE,Food,Smith's FoodDrug C,Mr. Jeffrey P Smith,Brigham City,UT,44,,,,,,none,0,0,,,24,6,683606,539000,,,5550490,9.819,2807,45.8,1,Food distributors-supermarketsconvenience,2
1222480,FALSE,Entertainment,Tribune,Mr. Charles T Brumback,Toledo,OH,65,Princeton,BA,50,21,,none,0,0,,,37,4,690327,485000,47152,,6852920,0.188,1953,188.6,8,Entertainmentinformation-publishing,17
1221300,FALSE,Financial,First Virginia Banks,Mr. Robert H Zalokar,West Mineral,KS,66,U of Kansas,BS,50,22,,none,0,0,,,39,9,500000,306388,117410,297501,5142040,0.367,587,116,20,Financial services-regional banks,1
1221140,FALSE,Food,Hershey Foods,Mr. Kenneth L Wolfe,Lebanon,PA,55,Yale,BA,61,22,U of Penn-Whart,MBA,1,1,67,28,27,1,456500,308709,455934,,,0.08,3488,297.2,15,Fooddrinktobacco-food processors,2
1217960,FALSE,Insurance,Aon,Mr. Patrick G Ryan,Milwaukee,WI,57,Northwestern U,BS,59,22,,none,0,0,,,30,12,813462,310000,94496,,5102240,13.33,3845,323.8,14,Insurance-lifehealth,4
1213210,FALSE,Metals,Aluminum Co of Ameri,Mr. Paul H O'Neill,St Louis,MO,58,Cal St Fresno,BA,60,24,Indiana U,MPA,0,1,66,30,7,7,700200,343000,170012,,7308380,0.027,9056,4.8,7,Metals-nonferrous metals,5
1211630,FALSE,Forest,Sonoco Products,Mr. Charles W Coker,Hartsville,SC,61,Princeton,BA,55,22,Harvard,MBA,1,1,57,24,36,24,575834,451567,184233,,6309000,1.186,1947,118.8,8,Forest products-packaging,9
1210250,FALSE,Energy,Pacific Enterprises,Mr. Willis B Wood Jr,Kansas City,MO,59,U of Tulsa,BS,57,22,,none,0,0,,,33,2,641000,511438,57808,,2570880,0.032,2899,181,-8,Energy-integrated gas,12
1208960,FALSE,Food,Whitman,Mr. Bruce S Chelberg,Chicago,IL,59,U of Illinois,BS,56,21,U of Illinois,LLB,0,1,58,23,12,2,548333,575000,85622,,5557020,0.212,2530,106.4,4,Fooddrinktobacco-beverages,2
1205060,FALSE,Chemicals,Air ProductsChemic,Mr. Harold A Wagner,Oakland,CA,58,Stanford U,BSM,58,22,Harvard,MBA,1,1,63,27,31,2,569231,256000,91992,287838,2563680,0.041,3342,207,19,Chemicals-specialized,15
1204060,FALSE,Consumer,Liz Claiborne,Mr. Jerome A Chazen,New York,NY,67,U of Wisc Madis,BA,48,21,Columbia,MBA,1,1,50,23,17,5,574100,,629961,,5661610,2.978,2204,125.3,7,Consumer nondurables-textilesapparel,18
1203490,FALSE,Forest,Union Camp,Mr. Raymond E Cartledge,Pensacola,FL,64,U of Alabama,BS,52,22,,none,0,0,,,38,8,610000,128400,189525,275560,5462120,0.087,3120,50,8,Forest products-paperlumber,9
1201830,FALSE,Energy,Diamond Shamrock,Mr. Roger R Hemminghaus,St Louis,MO,57,Auburn U,BS,58,21,,none,0,0,,,10,7,486838,275000,216675,223317,4641660,0.324,2555,32.6,8,Energy-other energy,12
1200490,FALSE,Financial,Deposit Guaranty,Mr. Emerson B Robinson Jr,Centreville,MS,52,Davidson C,BS,63,21,Harvard,MBA,1,1,67,25,27,10,364064,413820,22205,400400,3114590,0.498,374,66.6,16,Financial services-regional banks,1
1192780,FALSE,Financial,Wilmington Trust,Mr. Leonard W Quill,Wilmington,DE,62,U of Delaware,BS,59,27,U of Delaware,MBA,1,1,65,33,36,2,393333,333650,4497,461300,,0.38,405,82.8,12,Financial services-regional banks,1
1189440,FALSE,Business,PHH,Mr. Robert D Kunisch,Norwalk,CT,52,NYU,BBA,63,21,,none,0,0,,,28,6,620000,490003,6690,72750,4409480,0.289,2116,63,5,Business-services,13
1186920,FALSE,Insurance,Protective Life,Mr. DraytonNabers Jr,Birmingham,AL,53,Princeton,AB,62,21,Yale,LLB,0,1,65,24,15,2,398583,365700,422638,,,0.234,760,56.6,32,Insurance-lifehealth,4
1184540,FALSE,Financial,Commercial Federal,Mr. William A Fitzgerald,Omaha,NE,56,Creighton U,BS,59,21,,none,0,0,,,39,19,319332,127728,137700,599779,2738860,1.089,393,35,21,Financial services-thrift institutions,1
1177820,FALSE,Financial,Sallie Mae,Mr. Lawrence A Hough,Janesville,WI,50,Stanford U,BS,66,22,MIT,MS,0,1,72,28,21,4,496903,290000,390914,,5782620,0.142,2617,430.1,4,Financial services-leasefinance,1
1174550,FALSE,Consumer,Paccar,Mr. Charles M Pigott,Seattle,WA,65,Stanford U,BS,51,22,,none,0,0,,,38,26,750000,,424551,,7317460,4.3,3542,142.2,7,Consumer durables-automobilestrucks,18
1173000,FALSE,Financial,MBIA,Mr. David H Elliott,Canaan,CT,52,Yale,BA,64,22,Boston U,JD,0,1,67,25,18,2,485000,485000,202995,,4445900,0.026,429,246.1,19,Financial services-leasefinance,1
1159420,FALSE,Chemicals,RohmHaas,Mr. J LawrenceWilson,Rosedale,MS,58,Vanderbilt U,BE,58,22,Harvard,MBA,1,1,63,27,29,6,552500,86071,520851,,5201180,0.089,3269,126,14,Chemicals-diversified,15
1159100,FALSE,Food,Gerber Products,Mr. Alfred A Piergallini,Martin's Creek,PA,47,Lafayette C,BA,68,21,U of Chicago,MBA,1,1,70,23,5,4,506000,,599879,53224,5181290,0.159,1177,131,15,Fooddrinktobacco-food processors,2
1145140,FALSE,Business,WW Grainger,Mr. David W Grainger,Chicago,IL,66,U of Wisc Madis,BSE,50,22,,none,0,0,,,42,20,607000,389000,149136,,5537630,10.233,2628,149.3,20,Business-services,13
