Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
212;Marsh & McLennan;210;14024;1492;20429;41924;64000;Daniel S. Glaser;President, Chief Executive Officer &  Director;Male;Financials;Diversified Financials;24;New York;NY;;
213;Devon Energy;231;13949;898;30241;16725;3414;David A. Hager;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;17;Oklahoma City;OK;35.4675602;-97.5164276
214;AES;194;13850;-1161;33112;7510;10500;Andres R. Gluski;President, Chief Executive Officer &  Director;Male;Energy;Utilities: Gas and Electric;18;Arlington;VA;38.8816208;-77.0909809
215;Ecolab;211;13838;1508.4;19962;39524;48400;Douglas M. Baker Jr.;Chairman &  Chief Executive Officer;Male;Chemicals;Chemicals;16;St Paul;MN;44.9537029;-93.0899578
216;Land O'Lakes;209;13740;314.2;9509;NA;10000;Christopher J. Policinski;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Consumer Products;16;Arden Hills;MN;45.0502435;-93.1566112
217;Loews;213;13735;1164;79586;16134;18100;James S. Tisch;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
218;Kinder Morgan;215;13705;183;79055;33223;10897;Steven J. Kean;President, Chief Executive Officer &  Director;Male;Energy;Pipelines;15;Houston;TX;29.7604267;-95.3698028
219;FirstEnergy;196;13627;-1724;42257;16175;15617;Charles E. Jones;President, Chief Executive Officer &  Director;Male;Energy;Utilities: Gas and Electric;23;Akron;OH;41.0814447;-81.5190053
220;Occidental Petroleum;278;13274;1311;42026;49738;11000;Vicki A. Hollub;President, Chief Executive Officer &  Director;Female;Energy;Mining, Crude-Oil Production;24;Houston;TX;29.7604267;-95.3698028
221;Viacom;224;13263;1874;23698;12919;11200;Robert M. Bakish;President, Chief Executive Officer &  Director;Male;Media;Entertainment;13;New York;NY;40.7127753;-74.0059728
222;PayPal Holdings;264;13094;1795;40774;91056;18700;Daniel H. Schulman;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;3;San Jose;CA;37.3382082;-121.8863286
223;NGL Energy Partners;237;13022;137;6320;1332;2700;H. Michael Krimbill;Chief Executive Officer &  Director;Male;Energy;Energy;4;Tulsa;OK;36.1539816;-95.992775
224;Celgene;254;13003;2940;30141;67102;7467;Mark J. Alles;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;7;Summit;NJ;40.7146376;-74.3646122
225;Arconic;228;12960;-74;18718;11124;41500;Charles P. Blankenship;Chairman &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;New York;NY;40.7127753;-74.0059728
226;Kellogg;216;12923;1269;16350;22532;32944;Steven A. Cahillane;Chairman, President &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Consumer Products;24;Battle Creek;MI;42.3211522;-85.1797142
227;Las Vegas Sands;249;12882;2806;20687;56721;50500;Sheldon G. Adelson;Chairman &  Chief Executive Officer;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;9;Las Vegas;NV;36.1699412;-115.1398296
228;Stanley Black & Decker;250;12747;1226;19080;23610;57765;James M. Loree;President, Chief Executive Officer &  Director;Male;Household Products;Home Equipment, Furnishings;11;New Britain;CT;41.6612104;-72.7795419
