Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
229;Booking Holdings;268;12681;2340.8;25451;100459;22900;Glenn D. Fogel;President, Chief Executive Officer &  Director;Male;Technology;Internet Services and Retailing;6;Norwalk;CT;41.117744;-73.4081575
230;Lennar;260;12646;810.5;18745;18738;9111;Richard Beckwitt;Chief Executive Officer &  Director;Male;Engineering &  Construction;Homebuilders;14;Miami;FL;25.7616798;-80.1917902
231;L Brands;220;12632;983;8149;10655;59200;Leslie H. Wexner;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Apparel;24;Columbus;OH;39.9611755;-82.9987942
232;DTE Energy;272;12607;1134;33767;18760;10200;Gerard M. Anderson;Chairman &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Detroit;MI;42.331427;-83.0457538
233;Dominion Energy;238;12586;2999;76585;45344;16200;Thomas F. Farrell II;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Richmond;VA;37.5407246;-77.4360481
234;Reinsurance Group of America;246;12516;1822.2;60515;9930;2640;Anna Manning;President, Chief Executive Officer &  Director;Female;Financials;Insurance: Life, Health (stock);9;Chesterfield;MO;38.6631083;-90.5770675
235;J.C. Penney;221;12506;-116;8413;943;98000;Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch;Chairman &  Chief Executive Officer;Male;Retailing;General Merchandisers;24;Plano;TX;33.0198431;-96.6988856
236;Mastercard;267;12497;3915;21329;184161;13400;Ajay Banga;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;10;Harrison;NY;41.0400135;-73.7144477
237;BlackRock;255;12491;4970;220217;87065;13900;;Chairman &  Chief Executive Officer;Male;Financials;Securities;11;New York;NY;40.7127753;-74.0059728
238;Henry Schein;243;12462;406.3;7811;10330;22000;;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Health Care;15;Melville;NY;40.7934322;-73.4151214
239;Guardian Life Ins. Co. of America;218;12455;455.3;75038;NA;9283;Deanna M. Mulligan;President, Chief Executive Officer &  Director;Female;;Insurance: Life, Health (Mutual);24;New York;NY;40.7127753;-74.0059728
240;Stryker;252;12444;1020;22197;60041;33000;Kevin A. Lobo;Chairman &  Chief Executive Officer;Male;Health Care;Medical Products and Equipment;16;Kalamazoo;MI;42.2917069;-85.5872286
241;Jefferies Financial Group;262;12408;171.7;47169;8098;12700;Richard B. Handler;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;6;New York;NY;40.7127753;-74.0059728
242;VF;230;12400;614.9;9959;29403;69000;Steven E. Rendle;Chairman, President &  Chief Executive Officer;Male;Apparel;Apparel;24;Greensboro;NC;36.0726354;-79.7919754
243;ADP;240;12380;1733.4;37180;50302;58000;Carlos A. Rodriguez;President, Chief Executive Officer &  Director;Male;Business Services;Diversified Outsourcing Services;24;Roseland;NJ;40.8206555;-74.2937594
244;Edison International;235;12320;565;52580;20741;12521;Pedro J. Pizarro;President, Chief Executive Officer &  Director;Male;Energy;Utilities: Gas and Electric;24;Rosemead;CA;34.0805651;-118.072846
245;Biogen;248;12274;2539.1;23653;57930;7300;Michel Vounatsos;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;9;Cambridge;MA;42.3736158;-71.1097335
246;United States Steel;279;12250;387;9862;6200;29200;David B. Burritt;President, Chief Executive Officer &  Director;Male;Materials;Metals;16;Pittsburgh;PA;40.4406248;-79.9958864
247;Core-Mark Holding;247;12225;33.5;1783;981;8413;Thomas B. Perkins;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Food and Grocery;9;South San Francisco;CA;37.654656;-122.4077498
248;Bed Bath & Beyond;233;12216;685.1;6846;2989;65000;Steven H. Temares;Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;15;Union;NJ;40.6975898;-74.2631635
249;Oneok;312;12174;387.8;16846;23373;2470;Terry K. Spencer;President, Chief Executive Officer &  Director;Male;Energy;Pipelines;16;Tulsa;OK;36.1539816;-95.992775
250;BB& T Corp.;245;12156;2394;221642;40454;36484;Kelly S. King;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;20;Winston-Salem;NC;36.0998596;-80.244216
251;Becton Dickinson;225;12093;1100;37734;57695;41933;Vincent A. Forlenza;Chairman &  Chief Executive Officer;Male;Health Care;Medical Products and Equipment;24;Franklin Lakes;NJ;41.0167639;-74.2057011
252;Ameriprise Financial;239;12075;1480;147470;21613;13312;James M. Cracchiolo;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;12;Minneapolis;MN;44.977753;-93.2650108
253;Farmers Insurance Exchange;222;12072;-65.4;16165;NA;13015;Jeffrey J. Dailey;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Mutual);4;Los Angeles;CA;34.165357;-118.6089752
254;First Data;242;12052;1465;48269;14865;22000;Frank J. Bisignano;Chairman &  Chief Executive Officer;Male;Business Services;Financial Data Services;24;New York;NY;40.7127753;-74.0059728
255;Consolidated Edison;234;12033;1525;48111;24192;15591;John McAvoy;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;New York;NY;40.7127753;-74.0059728
256;Parker-Hannifin;251;12029;983.4;15490;22755;56690;Thomas L. Williams;Chairman &  Chief Executive Officer;Male;Industrials;Industrial Machinery;24;Cleveland;OH;41.49932;-81.6943605
257;Anadarko Petroleum;344;11908;-456;42086;31131;4400;Al Walker;Chairman, President &  Chief Executive Officer;Male;Energy;Mining, Crude-Oil Production;18;The Woodlands;TX;30.1658207;-95.4612625
258;Estee Lauder;253;11824;1249;11568;55064;46000;Fabrizio Freda;President, Chief Executive Officer &  Director;Male;Household Products;Household and Personal Products;23;New York;NY;40.7127753;-74.0059728
259;State Street Corp.;271;11774;2177;238425;36688;36643;Joseph L. Hooley;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;23;Boston;MA;42.3600825;-71.0588801
260;Tesla;383;11759;-1961.4;28655;44955;37543;Elon Musk;Chairman &  Chief Executive Officer;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;2;Palo Alto;CA;37.4418834;-122.1430195
261;Netflix;314;11693;558.9;19013;128167;5100;Reed Hastings;Chairman, President &  Chief Executive Officer;Male;Technology;Internet Services and Retailing;4;Los Gatos;CA;37.2358078;-121.9623751
262;Alcoa;300;11652;217;17447;8372;14600;Roy C. Harvey;President, Chief Executive Officer &  Director;Male;Materials;Metals;2;Pittsburgh;PA;40.4406248;-79.9958864
263;Discover Financial Services;277;11545;2099;100087;25431;16500;David W. Nelms;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;10;Riverwoods;IL;42.1675254;-87.897014
264;Praxair;275;11437;1247;20436;41434;26461;Stephen F. Angel;Chairman &  Chief Executive Officer;Male;Chemicals;Chemicals;24;Danbury;CT;41.394817;-73.4540111
265;CSX;257;11408;5471;35739;49428;24006;James M. Foote;President, Chief Executive Officer &  Director;Male;Transportation;Railroads;24;Jacksonville;FL;30.3321838;-81.655651
266;Xcel Energy;256;11404;1148;43030;23107;11105;Benjamin G.S. Fowke III;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;22;Minneapolis;MN;44.977753;-93.2650108
267;Unum Group;258;11287;994.2;64013;10530;9400;Richard P. McKenney;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Life, Health (stock);23;Chattanooga;TN;35.0456297;-85.3096801
268;Universal Health Services;276;11279;752.3;10762;11163;72300;Alan B. Miller;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;15;King of Prussia;PA;40.1012856;-75.3835525
269;NRG Energy;229;11275;-2153;23318;9698;5940;Mauricio Gutierrez;President, Chief Executive Officer &  Director;Male;Energy;Energy;12;Princeton;NJ;40.3572976;-74.6672226
270;EOG Resources;356;11208;2582.6;29833;60913;2664;William R. Thomas;Chairman &  Chief Executive Officer;Male;Energy;Mining, Crude-Oil Production;10;Houston;TX;29.7604267;-95.3698028
271;Sempra Energy;280;11207;256;50454;29351;16046;J. Walker Martin;Chairman &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;20;San Diego;CA;32.715738;-117.1610838
272;Toys 'R'<9d> Us;244;11146;-612;7262;NA;65000;David A. Brandon;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;24;Wayne;NJ;40.9253725;-74.2765441
273;Group 1 Automotive;261;11124;213.4;4871;1366;14108;Earl J. Hesterberg;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;18;Houston;TX;29.7604267;-95.3698028
274;Entergy;263;11075;411.6;46707;14298;13504;Leo P. Denault;Chairman &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;New Orleans;LA;29.9510658;-90.0715323
275;Molson Coors Brewing;522;11003;1414.2;30247;16238;17200;Mark R. Hunter;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Beverages;8;Denver;CO;39.7392358;-104.990251
276;L3 Technologies;273;11002;677;12729;16283;38000;Christopher E. Kubasik;President, Chief Executive Officer &  Director;Male;Aerospace &  Defense;Aerospace and Defense;16;New York;NY;40.7127753;-74.0059728
277;Ball;306;10983;374;17169;13920;18300;John A. Hayes;Chairman, President &  Chief Executive Officer;Male;Materials;Packaging, Containers;22;Broomfield;CO;39.9205411;-105.0866504
278;AutoZone;270;10889;1280.9;9260;17450;70035;William C. Rhodes III;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;20;Memphis;TN;35.1495343;-90.0489801
279;Murphy USA;291;10853;245.3;2331;2440;6900;R. Andrew Clyde;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;5;El Dorado;AR;33.20763;-92.6662674
280;MGM Resorts International;297;10774;1960.3;29159;19844;68500;James J. Murren;Chairman &  Chief Executive Officer;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;18;Las Vegas;NV;36.1699412;-115.1398296
281;Office Depot;203;10752;181;6323;1195;45000;Gerry P. Smith;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;24;Boca Raton;FL;26.3683064;-80.1289321
282;Huntsman;289;10592;636;10244;7090;10000;Peter R. Huntsman;Chairman, President &  Chief Executive Officer;Male;Chemicals;Chemicals;13;The Woodlands;TX;30.1658207;-95.4612625
283;Baxter International;281;10561;717;17111;34979;47000;Jose E. Almeida;Chairman, President &  Chief Executive Officer;Male;Health Care;Medical Products and Equipment;24;Deerfield;IL;42.1711365;-87.8445119
284;Norfolk Southern;284;10551;5404;35711;41226;27110;James A. Squires;Chairman, President &  Chief Executive Officer;Male;Transportation;Railroads;24;Norfolk;VA;36.8507689;-76.2858726
285;salesforce.com;326;10480;127.5;21010;85074;29000;Marc R. Benioff;Chairman &  Chief Executive Officer;Male;Technology;Computer Software;4;SF;CA;37.7749295;-122.4194155
286;Laboratory Corp. of America;290;10441;1268.2;16568;16482;60000;David P. King;Chairman, President &  Chief Executive Officer;Male;Health Care;Health Care: Pharmacy and Other Services;9;Burlington;NC;36.0956918;-79.4377991
287;W.W. Grainger;282;10425;585.7;5804;15823;25050;Donald G. MacPherson;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Diversified;24;Lake Forest;IL;42.2586342;-87.840625
288;Qurate Retail;269;10404;2441;24122;12587;28255;Gregory B. Maffei;Chairman;Male;Retailing;Internet Services and Retailing;14;Englewood;CO;39.6477653;-104.9877597
289;Autoliv;283;10383;427.1;8550;12710;67352;Jan Carlson;Chairman, President &  Chief Executive Officer;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;20;Auburn Hills;MI;42.6875323;-83.2341028
290;Live Nation Entertainment;330;10337;-6;7504;8772;15050;Michael Rapino;President, Chief Executive Officer &  Director;Male;Media;Entertainment;9;Beverly Hills;CA;34.0736204;-118.4003563
291;Xerox;162;10265;195;15946;7330;36100;John Visentin;Chairman &  Chief Executive Officer;Male;Technology;Computers, Office Equipment;24;Norwalk;CT;;
292;Leidos Holdings;381;10170;366;8990;9918;31000;Roger A. Krone;Chairman &  Chief Executive Officer;Male;Technology;Information Technology Services;18;Reston;VA;;
293;Corning;298;10116;-497;27494;23677;46200;Wendell P. Weeks;Chairman, President &  Chief Executive Officer;Male;Industrials;Electronics, Electrical Equip.;23;Corning;NY;;
294;Lithia Motors;318;10087;245.2;4683;2515;12899;Bryan B. DeBoer;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;4;Medford;OR;42.3265152;-122.8755949
295;Expedia Group;317;10060;378;18516;16764;22615;Mark D. Okerstrom;President, Chief Executive Officer &  Director;Male;Retailing;Internet Services and Retailing;4;Bellevue;WA;47.6101497;-122.2015159
296;Republic Services;299;10042;1278.4;21147;21832;35000;Donald W. Slager;President, Chief Executive Officer &  Director;Male;Business Services;Waste Management;9;Phoenix;AZ;33.4483771;-112.0740373
297;Jacobs Engineering Group;259;10023;293.7;7381;8380;49750;Steven J. Demetriou;Chairman, President &  Chief Executive Officer;Male;Engineering &  Construction;Engineering, Construction;18;Dallas;TX;32.7766642;-96.7969879
298;Sonic Automotive;287;9867;93;3819;804;9750;B. Scott Smith;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;19;Charlotte;NC;35.2270869;-80.8431267
299;Ally Financial;286;9866;929;167148;11767;7900;Jeffrey J. Brown;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;11;Detroit;MI;42.331427;-83.0457538
300;LKQ;304;9848;533.7;9367;11750;43000;Dominick P. Zarcone;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Diversified;5;Chicago;IL;41.8781136;-87.6297982
301;BorgWarner;305;9799;439.9;9788;10586;29000;James R. Verrier;President, Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;12;Auburn Hills;MI;42.6875323;-83.2341028
302;Fidelity National Financial;293;9769;771;9151;10983;24525;Raymond R. Quirk;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);11;Jacksonville;FL;30.3321838;-81.655651
303;SunTrust Banks;303;9741;2273;205962;31863;23785;William H. Rogers Jr.;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;24;Atlanta;GA;33.7489954;-84.3879824
304;IQVIA Holdings;390;9739;1309;22742;20433;55000;Ari Bousbib;Chairman, President &  Chief Executive Officer;Male;Health Care;Health Care: Pharmacy and Other Services;5;Durham;NC;35.980513;-78.90511
305;Reliance Steel & Aluminum;320;9721;613.4;7751;6244;14900;Gregg J. Mollins;President, Chief Executive Officer &  Director;Male;Materials;Metals;12;Los Angeles;CA;34.0522342;-118.2436849
306;Nvidia;387;9714;3047;11241;140112;11528;Jen-Hsun Huang;President, Chief Executive Officer &  Director;Male;Technology;Semiconductors and Other Electronic Components;2;Santa Clara;CA;37.3541079;-121.9552356
307;Voya Financial;266;9660;-2992;222532;8686;6300;Rodney O. Martin Jr.;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;4;New York;NY;40.7127753;-74.0059728
308;CenterPoint Energy;362;9614;1792;22736;11822;7977;Scott M. Prochazka;President, Chief Executive Officer &  Director;Male;Energy;Utilities: Gas and Electric;24;Houston;TX;29.7604267;-95.3698028
309;eBay;310;9567;-1016;25981;40726;14100;Devin N. Wenig;President, Chief Executive Officer &  Director;Male;Technology;Internet Services and Retailing;13;San Jose;CA;37.3382082;-121.8863286
310;Eastman Chemical;309;9549;1384;15999;15073;14000;Mark J. Costa;Chairman &  Chief Executive Officer;Male;Chemicals;Chemicals;24;Kingsport;TN;36.548434;-82.5618186
311;American Family Insurance Group;315;9545;155.6;24233;NA;11307;Jack C. Salzwedel;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);22;Madison;WI;43.0730517;-89.4012302
312;Steel Dynamics;347;9539;812.7;6856;10444;7635;Mark D. Millett;President, Chief Executive Officer &  Director;Male;Materials;Metals;9;Fort Wayne;IN;41.079273;-85.1393513
313;Pacific Life;302;9510;1365;157877;NA;3578;James T. Morris;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);22;Newport Beach;CA;33.6188829;-117.9298493
314;Chesapeake Energy;343;9496;949;12425;2746;3200;Robert D. Lawler;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;13;Oklahoma City;OK;35.4675602;-97.5164276
315;Mohawk Industries;311;9491;971.6;12095;17283;38800;Jeffrey S. Lorberbaum;Chairman &  Chief Executive Officer;Male;Household Products;Home Equipment, Furnishings;19;Calhoun;GA;34.502587;-84.9510542
316;Quanta Services;355;9467;315;6480;5281;32800;Earl C. Austin Jr.;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Engineering, Construction;6;Houston;TX;29.7604267;-95.3698028
317;Advance Auto Parts;292;9374;475.5;8482;8770;55500;Thomas R. Greco;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;16;Roanoke;VA;37.2709704;-79.9414266
318;Owens & Minor;288;9318;72.8;3376;961;8600;P. Cody Phipps;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Health Care;24;Mechanicsville;VA;37.6087561;-77.3733139
319;United Natural Foods;325;9275;130.2;2887;2165;9700;Steven L. Spinner;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Food and Grocery;6;Providence;RI;41.8239891;-71.4128343
320;Tenneco;322;9274;207;4842;2822;32000;Brian J. Kesseler;Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Lake Forest;IL;42.2586342;-87.840625
321;Conagra Brands;197;9235;639.3;10096;14776;12600;Sean M. Connolly;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Consumer Products;24;Chicago;IL;41.8781136;-87.6297982
322;GameStop;321;9225;34.7;5042;1279;39500;Shane S. Kim;Interim Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;12;Grapevine;TX;32.9342919;-97.0780654
323;Hormel Foods;295;9168;846.7;6976;18174;20200;James P. Snee;Chairman, President &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Consumer Products;24;Austin;MN;43.6666296;-92.9746367
324;Hilton Worldwide Holdings;241;9140;1259;14308;24957;163000;Christopher J. Nassetta;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;15;McLean;VA;38.9338676;-77.1772604
325;Frontier Communications;313;9128;-1804;24884;582;22736;Daniel J. McCarthy;President, Chief Executive Officer &  Director;Male;Telecommunications;Telecommunications;5;Norwalk;CT;41.117744;-73.4081575
326;Fidelity National Information Services;301;9123;1319;24517;31893;53000;Gary A. Norcross;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;9;Jacksonville;FL;30.3321838;-81.655651
327;Public Service Enterprise Group;306;9084;1574;42716;25359;12945;Ralph Izzo;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Newark;NJ;40.735657;-74.1723667
328;Boston Scientific;327;9048;104;19042;37688;29000;Michael F. Mahoney;Chairman, President &  Chief Executive Officer;Male;Health Care;Medical Products and Equipment;15;Marlboro;MA;42.3459271;-71.5522874
329;OReilly Automotive;323;8978;1133.8;7572;20607;60365;Gregory D. Johnson;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;9;Springfield;MO;37.2089572;-93.2922989
330;Charles Schwab;357;8960;2354;243274;70313;17600;Walter W. Bettinger II;President, Chief Executive Officer &  Director;Male;Financials;Securities;20;SF;CA;37.7749295;-122.4194155
331;Global Partners;334;8921;58.8;2320;522;2000;Eric Slifka;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Diversified;12;Waltham;MA;42.3764852;-71.2356113
332;PVH;335;8915;537.8;11886;11649;28050;Emanuel Chirico;Chairman &  Chief Executive Officer;Male;Apparel;Apparel;8;New York;NY;40.7127753;-74.0059728
333;Avis Budget Group;319;8848;361;17699;3792;26300;Larry D. De Shon;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;21;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
334;Targa Resources;402;8815;54;14389;9629;2130;Joe Bob Perkins;Chairman &  Chief Executive Officer;Male;Energy;Pipelines;10;Houston;TX;29.7604267;-95.3698028
335;Hertz Global Holdings;296;8803;327;20058;1662;37000;Kathryn V. Marinello;President, Chief Executive Officer &  Director;Female;Retailing;Automotive Retailing, Services;11;Estero;FL;26.438136;-81.8067523
336;Calpine;400;8752;-339;16453;NA;2290;John B. Hill III;President, Chief Executive Officer &  Director;Male;Energy;Energy;17;Houston;TX;29.7604267;-95.3698028
337;Mutual of Omaha Insurance;342;8732;862.6;42429;NA;5896;;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);22;Omaha;NE;41.2565369;-95.9345034
338;Crown Holdings;333;8698;323;10663;6816;24342;Timothy J. Donahue;President, Chief Executive Officer &  Director;Male;Materials;Packaging, Containers;24;Philadelphia;PA;39.9525839;-75.1652215
339;Peter Kiewit Sons;324;8678;371;5710;NA;22000;Bruce E. Grewcock;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Engineering, Construction;19;Omaha;NE;41.2565369;-95.9345034
340;Dicks Sporting Goods;340;8591;323.4;4204;3765;30300;Edward W. Stack;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;9;Coraopolis;PA;40.5184013;-80.1667247
341;PulteGroup;353;8573;447.2;9687;8439;4810;Ryan R. Marshall;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Homebuilders;16;Atlanta;GA;33.7489954;-84.3879824
342;Navistar International;337;8570;30;6135;3451;11400;Troy A. Clarke;Chairman, President &  Chief Executive Officer;Male;Industrials;Construction and Farm Machinery;22;Lisle;IL;41.801141;-88.0747875
343;Thrivent Financial for Lutherans;316;8528;558.4;95001;NA;3622;Bradford L. Hewitt;Chief Executive Officer &  Director;Male;Financials;Insurance: Life, Health (Mutual);24;Minneapolis;MN;44.977753;-93.2650108
344;DCP Midstream;NA;8462;229;13878;5033;2650;Wouter T. van Kempen;Chairman, President &  Chief Executive Officer;Male;Energy;Pipelines;1;Denver;CO;39.7392358;-104.990251
345;Air Products & Chemicals;294;8442;3000.4;18467;34818;15150;Seifi Ghasemi;Chairman, President &  Chief Executive Officer;Male;Chemicals;Chemicals;24;Allentown;PA;40.6022939;-75.4714098
346;Veritiv;331;8365;-13.3;2708;617;8900;Mary A. Laschinger;Chairman &  Chief Executive Officer;Female;Wholesalers;Wholesalers: Diversified;3;Atlanta;GA;33.7489954;-84.3879824
347;AGCO;370;8307;186.4;7972;5157;20462;Martin H. Richenhagen;Chairman, President &  Chief Executive Officer;Male;Industrials;Construction and Farm Machinery;17;Duluth;GA;34.0028786;-84.1446376
348;Genworth Financial;329;8295;817;105297;1413;3500;Thomas J. McInerney;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Life, Health (stock);13;Richmond;VA;37.5407246;-77.4360481
349;Univar;338;8254;119.8;5733;3920;8600;David C. Jukes;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Diversified;3;Downers Grove;IL;41.8089191;-88.0111746
350;News Corp.;332;8139;-738;14552;9272;26000;Robert J. Thomson;Chairman &  Chief Executive Officer;Male;Media;Publishing, Printing;4;New York;NY;40.7127753;-74.0059728
351;SpartanNash;350;8128;-52.8;2056;620;11950;David M. Staples;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Food and Grocery;8;Byron Center;MI;42.8122508;-85.7228061
352;Westlake Chemical;507;8041;1304;12076;14385;8799;Albert Yuan Chao;President, Chief Executive Officer &  Director;Male;Chemicals;Chemicals;1;Houston;TX;29.7604267;-95.3698028
353;Williams;367;8031;2174;46352;20567;5425;Alan S. Armstrong;President, Chief Executive Officer &  Director;Male;Energy;Energy;24;Tulsa;OK;36.1539816;-95.992775
354;Lam Research;440;8014;1697.8;12123;33105;9400;Martin B. Anstice;Chairman &  Chief Executive Officer;Male;Technology;Semiconductors and Other Electronic Components;3;Fremont;CA;37.5482697;-121.9885719
355;Alaska Air Group;438;7933;1034;10740;7646;23156;Bradley D. Tilden;Chairman, President &  Chief Executive Officer;Male;Transportation;Airlines;5;Seattle;WA;47.6062095;-122.3320708
356;Jones Lang LaSalle;391;7932;254.2;8015;7930;81900;Christian Ulbrich;President, Chief Executive Officer &  Director;Male;Financials;Real estate;4;Chicago;IL;41.8781136;-87.6297982
357;Anixter International;359;7927;109;4252;2522;8900;Robert J. Eck;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Electronics and Office Equipment;16;Glenview;IL;42.0697509;-87.7878408
358;Campbell Soup;339;7890;887;7726;13021;18000;Denise M. Morrison;President, Chief Executive Officer &  Director;Female;Food, Beverages &  Tobacco;Food Consumer Products;24;Camden;NJ;39.9259463;-75.1196199
359;Interpublic Group;345;7882;579;12695;8854;50200;Michael I. Roth;Chairman &  Chief Executive Officer;Male;Business Services;Advertising, marketing;21;New York;NY;40.7127753;-74.0059728
360;Dover;392;7830;811.7;10658;15183;29000;Richard J. Tobin;President, Chief Executive Officer &  Director;Male;Industrials;Industrial Machinery;24;Downers Grove;IL;41.8089191;-88.0111746
361;Zimmer Biomet Holdings;352;7824;1813.8;25965;22151;18200;Bryan C. Hanson;President, Chief Executive Officer &  Director;Male;Health Care;Medical Products and Equipment;3;Warsaw;IN;41.2381;-85.8530469
362;Dean Foods;351;7795;61.6;2504;787;16000;Ralph P. Scozzafava;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Consumer Products;20;Dallas;TX;32.7766642;-96.7969879
363;Foot Locker;348;7782;284;3961;5379;32175;Richard A. Johnson;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Apparel;24;New York;NY;40.7127753;-74.0059728
364;Eversource Energy;358;7752;988;36220;18671;8084;James J. Judge;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;23;Springfield;MA;42.1014831;-72.589811
365;Alliance Data Systems;378;7719;788.7;30685;11806;20000;Edward J. Heffernan;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;4;Plano;TX;33.0198431;-96.6988856
366;Fifth Third Bancorp;389;7713;2194;142193;21812;18125;Greg D. Carmichael;Chairman, President &  Chief Executive Officer;Male;Financials;Commercial Banks;19;Cincinnati;OH;39.1031182;-84.5120196
367;Quest Diagnostics;366;7709;772;10503;13619;45000;Stephen H. Rusckowski;Chairman, President &  Chief Executive Officer;Male;Health Care;Health Care: Pharmacy and Other Services;18;Secaucus;NJ;40.7895453;-74.0565298
368;EMCOR Group;360;7688;227.2;3966;4549;32000;Anthony J. Guzzi;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Engineering, Construction;18;Norwalk;CT;41.117744;-73.4081575
369;W.R. Berkley;354;7685;549.1;24300;8836;7722;W. Robert Berkley Jr.;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);15;Greenwich;CT;41.0262417;-73.6281964
370;WESCO International;373;7679;163.5;4736;2920;9100;John J. Engel;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Diversified;20;Pittsburgh;PA;40.4406248;-79.9958864
371;Coty;558;7650;-422.2;22548;13723;22000;Camillo Pane;Chairman &  Chief Executive Officer;Male;Household Products;Household and Personal Products;1;New York;NY;40.7127753;-74.0059728
372;WEC Energy Group;368;7649;1203.7;31591;19784;8129;Gale E. Klappa;Chairman &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;9;Milwaukee;WI;43.0389025;-87.9064736
